iter	Passed	Remaining
340	58128	112335
341	58265	112101
342	58421	111903
343	58584	111719
344	58734	111509
345	58876	111286
346	59011	111050
347	59151	110823
348	59300	110615
349	59433	110376
350	59572	110149
351	59724	109947
352	59861	109718
353	59996	109485
354	60137	109263
355	60285	109055
356	60426	108836
357	60566	108614
358	60704	108389
359	60851	108180
360	60991	107960
361	61125	107728
362	61248	107480
363	61358	107208
364	61481	106961
365	61626	106751
366	61766	106533
367	61912	106327
368	62047	106103
369	62190	105891
370	62331	105677
371	62485	105486
372	62624	105268
373	62765	105056
374	62915	104859
375	63061	104655
376	63213	104461
377	63364	104266
378	63526	104089
379	63663	103872
380	63802	103658
381	63938	103439
382	64077	103226
383	64216	103013
384	64355	102802
385	64490	102582
386	64637	102384
387	64782	102182
388	64924	101977
389	65064	101768
390	65212	101572
391	65356	101368
392	65499	101166
393	65646	100968
394	65797	100778
395	65934	100566
396	66092	100387
397	66231	100178
398	66371	99973
399	66482	99724
400	66620	99515
401	66762	99313
402	66903	99110
403	67048	98913
404	67183	98701
405	67320	98492
406	67473	98309
407	67631	98132
408	67790	97956
409	67940	97768
410	68083	97569
411	68219	97361
412	68363	97165
413	68507	96970
414	68665	96793
415	68801	96586
416	68941	96385
417	69090	96198
418	69233	96001
419	69372	95799
420	69507	95593
421	69657	95407
422	69794	95203
423	69943	95017
424	70082	94817
425	70201	94590
426	70317	94360
427	70429	94125
428	70540	93890
429	70646	93647
430	70763	93421
431	70866	93176
432	70951	92908
433	71040	92647
434	71143	92405
435	71289	92218
436	71429	92024
437	71568	91829
438	71718	91649
439	71874	91476
440	71990	91253
441	72138	91071
442	72307	90914
443	72459	90737
444	72605	90552
445	72748	90364
446	72895	90181
447	73052	90011
448	73154	89772
449	73308	89599
450	73459	89422
451	73575	89201
452	73689	88980
453	73805	88761
454	73920	88541
455	74040	88328
456	74190	88151
457	74335	87969
458	74510	87822
459	74664	87649
460	74806	87463
461	74962	87294
462	75111	87116
463	75235	86910
464	75394	86744
465	75501	86519
466	75658	86350
467	75812	86179
468	75962	86004
469	76132	85851
470	76305	85702
471	76428	85495
472	76575	85317
473	76725	85142
474	76883	84976
475	77042	84811
476	77186	84630
477	77336	84455
478	77489	84283
479	77647	84118
480	77793	83939
481	77955	83778
482	78106	83604
483	78256	83430
484	78417	83267
485	78560	83086
486	78709	82912
487	78871	82750
488	79003	82557
489	79123	82353
490	79269	82175
491	79378	81959
492	79490	81747
493	79606	81540
494	79716	81327
495	79828	81116
496	79977	80943
497	80086	80730
498	80196	80517
499	80308	80308
500	80416	80095
501	80523	79882
502	80636	79674
503	80728	79447
504	80824	79223
505	80934	79015
506	81046	78808
507	81191	78634
508	81330	78454
509	81435	78241
510	81547	78037
511	81651	77824
512	81761	77617
513	81868	77408
514	81976	77200
515	82082	76992
516	82191	76786
517	82305	76585
518	82418	76383
519	82527	76178
520	82634	75972
521	82744	75769
522	82855	75568
523	82963	75364
524	83072	75160
525	83213	74986
526	83320	74782
527	83428	74580
528	83536	74377
529	83644	74175
530	83753	73974
531	83858	73770
532	83969	73571
533	84071	73366
534	84184	73170
535	84292	72970
536	84400	72769
537	84502	72565
538	84619	72373
539	84759	72202
540	84889	72022
541	85022	71845
542	85175	71685
543	85300	71501
544	85425	71318
545	85567	71149
546	85711	70982
547	85849	70810
548	85990	70640
549	86124	70465
550	86277	70306
551	86393	70116
552	86531	69945
553	86679	69781
554	86816	69609
555	86951	69436
556	87086	69262
557	87222	69089
558	87351	68912
559	87492	68743
560	87622	68567
561	87749	68388
562	87878	68211
563	88020	68044
564	88150	67867
565	88288	67698
566	88449	67546
567	88590	67378
568	88687	67178
569	88787	66979
570	88889	66783
571	88995	66590
572	89141	66428
573	89252	66239
574	89361	66049
575	89469	65859
576	89579	65670
577	89693	65485
578	89831	65317
579	89933	65124
580	90064	64951
581	90195	64779
582	90340	64617
583	90485	64455
584	90579	64257
585	90688	64069
586	90827	63904
587	90931	63713
588	91062	63543
589	91202	63377
590	91348	63217
591	91450	63026
592	91555	62838
593	91682	62664
594	91817	62497
595	91965	62339
596	92070	62151
597	92178	61966
598	92287	61781
599	92429	61619
600	92584	61466
601	92728	61305
602	92865	61140
603	92972	60955
604	93092	60779
605	93236	60619
606	93376	60456
607	93511	60290
608	93649	60126
609	93787	59962
610	93922	59796
611	94060	59633
612	94171	59452
613	94309	59289
614	94441	59122
615	94563	58948
616	94703	58786
617	94844	58625
618	94978	58459
619	95115	58296
620	95260	58138
621	95397	57974
622	95534	57811
623	95670	57647
624	95816	57490
625	95948	57324
626	96080	57157
627	96184	56975
628	96301	56800
629	96410	56622
630	96515	56440
631	96619	56259
632	96760	56099
633	96876	55925
634	96980	55744
635	97078	55560
636	97205	55393
637	97340	55231
638	97471	55066
639	97570	54883
640	97713	54725
641	97850	54564
642	97996	54408
643	98129	54245
644	98238	54069
645	98367	53904
646	98477	53728
647	98612	53567
648	98751	53407
649	98883	53245
650	99003	53075
651	99132	52911
652	99271	52752
653	99417	52596
654	99567	52443
655	99706	52285
656	99816	52111
657	99952	51951
658	100088	51790
659	100232	51635
660	100318	51449
661	100403	51263
662	100509	51088
663	100614	50913
664	100725	50741
665	100827	50565
666	100931	50389
667	101042	50218
668	101182	50061
669	101304	49896
670	101467	49750
671	101639	49609
672	101780	49453
673	101946	49309
674	102090	49154
675	102262	49013
676	102414	48862
677	102547	48702
678	102723	48563
679	102885	48416
680	103010	48253
681	103151	48097
682	103274	47932
683	103417	47777
684	103560	47622
685	103669	47452
686	103853	47316
687	104037	47179
688	104216	47040
689	104394	46901
690	104567	46760
691	104691	46596
692	104865	46455
693	105013	46302
694	105170	46153
695	105282	45985
696	105391	45815
697	105504	45648
698	105624	45483
699	105734	45314
700	105851	45149
701	105964	44981
702	106107	44827
703	106251	44673
704	106391	44518
705	106537	44365
706	106647	44197
707	106798	44046
708	106910	43879
709	107018	43711
710	107123	43542
711	107227	43372
712	107347	43210
713	107457	43043
714	107563	42874
715	107670	42707
716	107775	42539
717	107919	42386
718	108019	42216
719	108127	42049
720	108252	41889
721	108363	41724
722	108486	41563
723	108627	41410
724	108764	41255
725	108920	41107
726	109029	40942
727	109171	40789
728	109301	40631
729	109432	40475
730	109580	40324
731	109753	40182
732	109910	40035
733	110051	39882
734	110173	39722
735	110301	39564
736	110416	39402
737	110533	39240
738	110677	39089
739	110821	38937
740	110966	38785
741	111114	38635
742	111258	38483
743	111361	38318
744	111506	38166
745	111645	38013
746	111790	37862
747	111936	37711
748	112078	37559
749	112186	37395
750	112304	37235
751	112412	37072
752	112562	36922
753	112672	36760
754	112789	36600
755	112896	36437
756	113007	36275
757	113109	36111
758	113250	35959
759	113357	35796
760	113466	35635
761	113577	35474
762	113690	35314
763	113842	35165
764	113985	35015
765	114138	34867
766	114284	34717
767	114442	34571
768	114548	34409
769	114698	34260
770	114836	34108
771	114997	33962
772	115132	33809
773	115276	33659
774	115430	33511
775	115588	33365
776	115740	33217
777	115899	33071
778	116041	32920
779	116193	32772
780	116350	32625
781	116512	32480
782	116671	32334
783	116830	32188
784	116991	32042
785	117140	31893
786	117296	31745
787	117440	31595
788	117581	31444
789	117728	31294
790	117873	31144
791	118041	31000
792	118205	30855
793	118360	30708
794	118497	30556
795	118643	30406
796	118788	30255
797	118926	30104
798	119033	29944
799	119181	29795
800	119310	29641
801	119443	29488
802	119574	29335
803	119706	29182
804	119850	29032
805	119980	28878
806	120096	28721
807	120190	28560
808	120293	28400
809	120428	28248
810	120532	28089
811	120635	27930
812	120752	27774
813	120868	27618
814	121010	27468
815	121115	27310
816	121217	27151
817	121360	27001
818	121466	26844
819	121568	26685
820	121668	26526
821	121770	26368
822	121907	26218
823	122046	26068
824	122178	25916
825	122305	25764
826	122444	25614
827	122584	25464
828	122688	25307
829	122830	25157
830	122963	25006
831	123101	24856
832	123247	24708
833	123390	24559
834	123523	24408
835	123631	24253
836	123753	24100
837	123885	23949
838	124032	23801
839	124173	23652
840	124288	23498
841	124427	23348
842	124555	23197
843	124689	23046
844	124829	22897
845	124933	22741
846	125070	22592
847	125197	22441
848	125347	22293
849	125486	22144
850	125621	21994
851	125766	21846
852	125909	21698
853	126061	21551
854	126201	21402
855	126315	21249
856	126455	21100
857	126592	20951
858	126746	20804
859	126893	20657
860	127036	20508
861	127168	20358
862	127310	20210
863	127461	20063
864	127567	19909
865	127714	19761
866	127856	19613
867	127998	19465
868	128148	19318
869	128289	19169
870	128444	19023
871	128622	18880
872	128735	18727
873	128840	18574
874	128949	18421
875	129074	18270
876	129191	18119
877	129304	17967
878	129451	17819
879	129559	17667
880	129674	17515
881	129788	17363
882	129875	17208
883	129985	17056
884	130138	16910
885	130304	16765
886	130414	16614
887	130524	16462
888	130631	16310
889	130789	16165
890	130947	16019
891	131092	15872
892	131226	15723
893	131372	15576
894	131521	15429
895	131656	15281
896	131800	15134
897	131963	14989
898	132110	14842
899	132257	14695
900	132415	14549
901	132563	14402
902	132679	14252
903	132828	14105
904	132937	13954
905	133059	13805
906	133170	13654
907	133312	13507
908	133469	13361
909	133625	13215
910	133774	13069
911	133894	12919
912	134038	12772
913	134179	12625
914	134289	12475
915	134441	12328
916	134588	12181
917	134749	12036
918	134892	11889
919	135044	11742
920	135188	11595
921	135337	11449
922	135487	11302
923	135600	11153
924	135724	11004
925	135847	10856
926	135964	10706
927	136083	10558
928	136198	10409
929	136314	10260
930	136430	10111
931	136568	9964
932	136709	9817
933	136844	9669
934	136983	9522
935	137130	9376
936	137241	9227
937	137357	9079
938	137511	8933
939	137665	8787
940	137811	8640
941	137953	8493
942	138100	8347
943	138242	8200
944	138384	8054
945	138528	7907
946	138667	7760
947	138807	7613
948	138946	7467
949	139092	7320
950	139223	7173
951	139371	7027
952	139504	6880
953	139606	6731
954	139721	6583
955	139872	6437
956	140007	6290
957	140149	6144
958	140301	5998
959	140474	5853
960	140630	5707
961	140776	5560
962	140911	5414
963	141064	5267
964	141209	5121
965	141361	4975
966	141500	4828
967	141653	4682
968	141772	4535
969	141882	4388
970	141995	4240
971	142146	4094
972	142294	3948
973	142443	3802
974	142584	3656
975	142722	3509
976	142856	3363
977	142969	3216
978	143078	3069
979	143195	2922
980	143343	2776
981	143483	2630
982	143632	2483
983	143783	2337
984	143920	2191
985	144026	2044
986	144169	1898
987	144285	1752
988	144411	1606
989	144524	1459
990	144643	1313
991	144794	1167
992	144952	1021
993	145087	875
994	145244	729
995	145394	583
996	145544	437
997	145655	291
998	145768	145
999	145872	0
